species,age,band_number,mass,wing,tarsus,fat,location,taxon,foraging,temp,season,year,time
SOSP,HY,2571-58117,20.2,65,23.8,2,Grass,sparrow,ground glean,40,Fall,2019,930
SOSP,,2571-58214,19.7,64,24.1,0,Forb,sparrow,ground glean,67,Spring,2018,0759
SOSP,AHY,2571-58266,19.6,66,23.6,1.5,Forb,sparrow,ground glean,49,Fall,2018,0820
SOSP,HY,2571-58252,19.8,64,24.2,0,Forb,sparrow,ground glean,31,Fall,2018,0810
SOSP,HY,2571-58254,21.9,64,24.2,2,Forb,sparrow,ground glean,31,Fall,2018,0900
SOSP,,2571-58278,20.2,65,24,1,Forb,sparrow,ground glean,40,Spring,2019,0747
SOSP,HY,2571-58247,19.6,63,24.6,1,Forb,sparrow,ground glean,34,Fall,2018,0840
SOSP,AHY,2571-58249,20.6,63,24.6,1,Forb,sparrow,ground glean,34,Fall,2018,0920
SOSP,,2571-58276,22.5,66,23.8,3,Forb,sparrow,ground glean,49,Spring,2019,0830
SOSP,,2571-58132,21.6,66,23.8,0.5,Grass,sparrow,ground glean,20,Fall,2019,823
SOSP,HY,2571-58272,20.4,65,24.1,0.5,Forb,sparrow,ground glean,33,Fall,2018,0910
SOSP,HY,2571-58115,21.5,65,24.1,2,Grass,sparrow,ground glean,40,Fall,2019,930
SOSP,HY,2571-58264,21.6,67,23.6,2,Forb,sparrow,ground glean,35,Fall,2018,0950
SOSP,HY,2571-58128,21.9,67,23.6,1,Grass,sparrow,ground glean,25,Fall,2019,920
SOSP,AHY,2571-58133,21.5,67,23.6,2,Grass,sparrow,ground glean,20,Fall,2019,920
SOSP,HY,2571-58244,20.9,65,24.2,0.5,Forb,sparrow,ground glean,34,Fall,2018,0745
SOSP,HY,2571-58083,21.4,65,24.3,0,Forb,sparrow,ground glean,39,Fall,2017,
SOSP,,2571-58286,20.2,64,24.6,1.5,Forb,sparrow,ground glean,38,Spring,2019,0720
SOSP,AHY,2571-58111,21.9,69,23.2,2,Grass,sparrow,ground glean,40,Fall,2019,823
SOSP,,2571-58203,19.2,65,24.5,2,Forb,sparrow,ground glean,36,Spring,2018,
SOSP,HY,2571-58088,21.8,69,23.4,1,Forb,sparrow,ground glean,45,Fall,2017,0800
SOSP,HY,2571-58274,21.0,66,24.3,1,Forb,sparrow,ground glean,33,Fall,2018,0852
SOSP,,2571-58113,22.7,65,24.6,0,Grass,sparrow,ground glean,40,Fall,2019,906
SOSP,HY,2571-58110,22.8,68,23.8,0.5,Forb,sparrow,ground glean,34,Fall,2019,1000
SOSP,HY,2571-58243,19.9,66,24.4,1,Grass,sparrow,ground glean,24,Fall,2018,0938
SOSP,AHY,2571-58241,19.4,67,24.2,0.5,Grass,sparrow,ground glean,24,Fall,2018,0810
SOSP,HY,2571-58260,23.6,67,24.2,2,Forb,sparrow,ground glean,35,Fall,2018,0910
SOSP,AHY,2571-58118,21.1,67,24.2,1,Grass,sparrow,ground glean,40,Fall,2019,1022
SOSP,,2571-58099,19.2,66,24.5,2,Forb,sparrow,ground glean,32,Spring,2018,
SOSP,AHY,2571-58255,22.5,65,24.8,1.5,Forb,sparrow,ground glean,31,Fall,2018,0900
SOSP,AHY,2571-58233,20.9,69,23.7,0.5,Forb,sparrow,ground glean,38,Fall,2018,0823
SOSP,HY,2571-58236,20.4,67,24.3,2,Grass,sparrow,ground glean,34,Fall,2018,0811
SOSP,,2571-58207,19.7,66,24.6,2,Forb,sparrow,ground glean,46,Spring,2018,1000
SOSP,HY,2571-58096,22.3,67,24.4,1.5,Forb,sparrow,ground glean,33,Fall,2017,1019
SOSP,HY,2571-58242,21.6,69,23.9,1.5,Grass,sparrow,ground glean,24,Fall,2018,0815
SOSP,,2571-58098,20,66,24.8,2,Forb,sparrow,ground glean,32,Spring,2018,0705
SOSP,HY,2571-58235,22.2,66,24.9,0.5,Forb,sparrow,ground glean,38,Fall,2018,1009
SOSP,,2571-58285,20.3,69,24.1,1,Forb,sparrow,ground glean,45,Spring,2019,0800
SOSP,HY,2571-58094,21.5,68,24.4,1,Forb,sparrow,ground glean,33,Fall,2017,0915
SOSP,AHY,2571-58084,23.5,66,25,0.5,Forb,sparrow,ground glean,39,Fall,2017,
SOSP,AHY,2571-58246,22.3,69,24.2,1.5,Forb,sparrow,ground glean,34,Fall,2018,0810
SOSP,HY,2571-58095,20.4,67,25,0.5,Forb,sparrow,ground glean,33,Fall,2017,1003
SOSP,HY,2571-58218,21.7,68,24.8,0,Forb,sparrow,ground glean,47,Fall,2018,0935
SOSP,AHY,2571-58268,24.6,69,24.6,2.5,Forb,sparrow,ground glean,49,Fall,2018,1045
SOSP,,2571-58277,24.2,69,24.6,2,Grass,sparrow,ground glean,21,Spring,2019,0923
SOSP,AHY,2571-58090,31.8,69,24.7,0,Forb,sparrow,ground glean,45,Fall,2017,
SOSP,AHY,2571-58087,19.9,68,25.2,1,Forb,sparrow,ground glean,39,Fall,2017,
SOSP,HY,2571-58225,21.4,69,25.2,0,Forb,sparrow,ground glean,40,Fall,2018,0903
SOSP,AHY,2571-58258,23.5,70,25.1,1.5,Forb,sparrow,ground glean,31,Fall,2018,1008
SOSP,HY,2571-58093,21.8,69,25.5,1,Forb,sparrow,ground glean,34,Fall,2017,0936
SOSP,HY,2571-58232,21.7,69,25.6,0.5,Forb,sparrow,ground glean,29,Fall,2018,0832
SOSP,HY,2571-58097,20.8,69.5,25.7,1,Forb,sparrow,ground glean,35,Fall,2017,0828
SOSP,,2571-58201,20.4,,24.7,,Forb,sparrow,ground glean,28,Spring,2018,
SOSP,HY,2571-58224,18.2,,,0.5,Grass,sparrow,ground glean,53,Fall,2018,0940
SOSP,AHY,2571-58228,22.3,,,1,Forb,sparrow,ground glean,52,Fall,2018,1020
SOSP,,2571-58234,19.6,,22.5,1,Forb,sparrow,ground glean,38,Fall,2018,0937
SOSP,,,,,,,Grass,sparrow,ground glean,24,Fall,2018,0938
SOSP,AHY,2571-58223,23.6,,,0,Forb,sparrow,ground glean,34,Fall,2018,0920
SOSP,,,,,,,Forb,sparrow,ground glean,35,Fall,2019,800
SOSP,,2571-58124,19.3,,,1.5,Grass,sparrow,ground glean,40,Fall,2019,805
SOSP,,2571-58125,18.6,,,1,Grass,sparrow,ground glean,40,Fall,2019,805
SOSP,,2571-58126,22.4,,,1,Grass,sparrow,ground glean,40,Fall,2019,805
SOSP,,2571-58127,20.8,,,,Grass,sparrow,ground glean,40,Fall,2019,805
SOSP,,,20.4,,,2,Grass,sparrow,ground glean,40,Fall,2019,805
SOSP,,,,,,,Grass,sparrow,ground glean,40,Fall,2019,
SOSP,,,,,,,Grass,sparrow,ground glean,40,Fall,2019,
SOSP,,,,,,,Grass,sparrow,ground glean,40,Fall,2019,
SOSP,,,,,,,Grass,sparrow,ground glean,40,Fall,2019,
SWSP,HY,2521-30618,14.2,56,21.1,1.5,Grass,sparrow,ground glean,40,Fall,2019,831
SWSP,,2750-20713,16.6,52,23.3,2.5,Forb,sparrow,ground glean,38,Spring,2019,0650
SWSP,HY,2521-30363,15.0,55,23.0,0.5,Forb,sparrow,ground glean,38,Fall,2018,1023
SWSP,HY,2521-30602,16,59,22.3,0.5,Grass,sparrow,ground glean,39,Fall,2019,830
SWSP,AHY,2521-30373,16.3,56,23.3,2,Grass,sparrow,ground glean,31,Fall,2018,0820
SWSP,HY,2521-30350,15.8,56,23.4,1,Forb,sparrow,ground glean,29,Fall,2018,0946
SWSP,HY,2521-30393,16.7,58,22.9,2,Forb,sparrow,ground glean,35,Fall,2018,0806
SWSP,HY,2521-30528,15.1,60,22.4,0.5,Forb,sparrow,ground glean,35,Fall,2019,915
SWSP,HY,2521-30787,16,55,23.9,2,Forb,sparrow,ground glean,39,Fall,2017,
SWSP,,2521-30581,19.3,57,23.5,3,Forb,sparrow,ground glean,34,Spring,2019,0830
SWSP,HY,2521-30503,17.6,56,24.1,2,Forb,sparrow,ground glean,49,Fall,2018,1045
SWSP,AHY,2521-30358,16.0,58,23.6,1.5,Forb,sparrow,ground glean,38,Fall,2018,0930
SWSP,HY,2521-30392,14.8,56,24.3,1,Forb,sparrow,ground glean,31,Fall,2018,1107
SWSP,HY,2521-30375,17.2,60,23.2,2,Grass,sparrow,ground glean,31,Fall,2018,0840
SWSP,AHY,2521-30387,16.9,60,23.3,1.5,Forb,sparrow,ground glean,31,Fall,2018,0835
SWSP,AHY,2521-30656,15.5,59,23.6,1,Grass,sparrow,ground glean,25,Fall,2019,1000
SWSP,,2521-30797,15.9,62,22.8,2,Forb,sparrow,ground glean,29,Spring,2018,0930
SWSP,HY,2521-30507,16.8,62,22.8,1,Grass,sparrow,ground glean,39,Fall,2019,815
SWSP,HY,2521-30653,16.7,62,22.8,1,Grass,sparrow,ground glean,25,Fall,2019,910
SWSP,HY,2521-30339,17.0,59,23.8,2,Forb,sparrow,ground glean,55,Fall,2018,0915
SWSP,HY,2521-30348,15.1,62,23.0,0.5,Forb,sparrow,ground glean,29,Fall,2018,0853
SWSP,HY,2521-30396,17.2,62,23.0,1,Forb,sparrow,ground glean,35,Fall,2018,0903
SWSP,HY,2521-30792,16,59,24.4,1,Forb,sparrow,ground glean,45,Fall,2017,
SWSP,AHY,2521-30380,18.2,62,23.6,2,Grass,sparrow,ground glean,24,Fall,2018,0945
SWSP,HY,2521-30391,17.1,60,24.2,1.5,Forb,sparrow,ground glean,34,Fall,2018,0920
SWSP,HY,2521-30596,15.3,61,24.2,1,Forb,sparrow,ground glean,28,Fall,2018,0915
SWSP,HY,2521-30351,16.1,61,24.3,1,Forb,sparrow,ground glean,29,Fall,2018,0953
SWSP,HY,2521-30502,17.3,62,24.1,1.5,Forb,sparrow,ground glean,49,Fall,2018,0820
SWSP,AHY,2521-30333,17.8,59,25.1,2.5,Grass,sparrow,ground glean,49,Fall,2018,0945
SWSP,HY,2521-30397,19.9,62,24.3,1,Forb,sparrow,ground glean,35,Fall,2018,0907
SWSP,HY,2521-30382,16.7,63,24.2,1,Forb,sparrow,ground glean,31,Fall,2018,0830
SWSP,AHY,2521-30354,17.7,63,24.6,1.5,Forb,sparrow,ground glean,38,Fall,2018,0834
SWSP,,,17.4,,,2,Forb,sparrow,ground glean,34,Fall,2017,0750
SWSP,,,,,,,Grass,sparrow,ground glean,40,Fall,2019,820
SWSP,,,,,,,Grass,sparrow,ground glean,40,Fall,2019,x
YEWA,,2750-20478,7.9,54.5,20.1,0.5,Forb,warbler,foliage glean,61,Spring,2018,0910
YEWA,HY,2750-20801,10.2,61,19.1,2,Forb,warbler,foliage glean,70,Fall,2019,740
YEWA,HY,2750-20517,10.9,57,20.8,2,Forb,warbler,foliage glean,70,Fall,2018,0950
YEWA,AHY,2750-20495,10.1,60,20.4,2,Forb,warbler,foliage glean,66,Fall,2018,
YEWA,,2750-20732,8.5,58,21,1,Forb,warbler,foliage glean,48,Spring,2019,0915
YEWA,HY,2750-20497,8.3,60,20.6,0.5,Forb,warbler,foliage glean,66,Fall,2018,
YEWA,AHY,2750-20494,9,62,20.3,0.5,Forb,warbler,foliage glean,66,Fall,2018,
YEWA,AHY,2750-20784,10.1,60,20.9,2,Forb,warbler,foliage glean,54,Fall,2019,748
YEWA,AHY,2750-20491,11,61,20.7,1.5,Forb,warbler,foliage glean,66,Fall,2018,
YEWA,HY,2750-20500,8.7,60,21,1,Forb,warbler,foliage glean,66,Fall,2018,
YEWA,HY,2750-20519,12.0,63,20.5,3,Forb,warbler,foliage glean,65,Fall,2018,0842
YEWA,AHY,2750-20507,10.0,62,20.9,2,Forb,warbler,foliage glean,56,Fall,2018,1000
YEWA,AHY,2750-20502,11.5,61,21.2,2,Forb,warbler,foliage glean,63,Fall,2018,
YEWA,,2750-20490,10.1,62,21,0,Forb,warbler,foliage glean,66,Fall,2018,0910
YEWA,HY,2750-20501,,60.5,21.5,2,Forb,warbler,foliage glean,63,Fall,2018,
YEWA,,2750-20493,,,,,Forb,warbler,foliage glean,66,Fall,2018,
YEWA,,2750-20503,7.2,,,2,Forb,warbler,foliage glean,63,Fall,2018,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
